"","RPKM","LEVEL1","DEPTH"
"1",0.447635,"Biosynthesis","DCM"
"2",0.0974505,"Degradation","DCM"
"3",0.0826759,"Biosynthesis","DCM"
"4",0.153123,"Degradation","DCM"
"5",0.0597218,"Degradation","DCM"
"6",0.0597218,"Degradation","DCM"
"7",1.5407,"Biosynthesis","DCM"
"8",0.0547393,"Biosynthesis","DCM"
"9",0.0184503,"Degradation","DCM"
"10",0.282411,"Degradation","DCM"
"11",0.0969573,"Biosynthesis","DCM"
"12",0.0559543,"Biosynthesis","DCM"
"13",1.01544,"Degradation","DCM"
"14",0.0177527,"Degradation","DCM"
"15",0.0214208,"Biosynthesis","DCM"
"16",0.0314697,"Degradation","DCM"
"17",0.529248,"Biosynthesis","DCM"
"18",0.0165848,"Biosynthesis","DCM"
"19",0.0597218,"Degradation","DCM"
"20",0.0152441,"Biosynthesis","DCM"
"21",0.0134542,"Biosynthesis","DCM"
"22",0.0158494,"Biosynthesis","DCM"
"23",0.0974505,"Degradation","DCM"
"24",0.0279445,"Degradation","DCM"
"25",0.37649,"Biosynthesis","DCM"
"26",0.0134542,"Biosynthesis","DCM"
"27",0.1135,"Biosynthesis","DCM"
"28",0.0658962,"Biosynthesis","DCM"
"29",0.114677,"Energy-Metabolism","DCM"
"30",1.1425044,"Degradation","DCM"
"31",0.0244372,"Biosynthesis","DCM"
"32",0.0210259,"Biosynthesis","DCM"
"33",1.1991126,"Biosynthesis","DCM"
"34",0.1135,"Biosynthesis","DCM"
"35",1.005386,"Detoxification","DCM"
"36",0.662931,"Degradation","DCM"
"37",0.1135,"Biosynthesis","DCM"
"38",0.153025,"Biosynthesis","DCM"
"39",1.0818984,"Biosynthesis","DCM"
"40",0.7381817,"Degradation","DCM"
"41",1.2534673,"Degradation","DCM"
"42",23.2966047,"Biosynthesis","DCM"
"43",0.1653686,"Degradation","DCM"
"44",0.0715434,"Biosynthesis","DCM"
"45",0.3660615,"Energy-Metabolism","DCM"
"46",23.2966047,"Degradation","DCM"
"47",0.3507492,"Biosynthesis","DCM"
"48",0.0173038,"Degradation","DCM"
"49",2.3722945,"Degradation","DCM"
"50",0.3260781,"Biosynthesis","DCM"
"51",0.0715434,"Biosynthesis","DCM"
"52",0.858221,"Degradation","DCM"
"53",0.1215939,"Energy-Metabolism","DCM"
"54",0.987612,"Biosynthesis","DCM"
"55",0.3788367,"Biosynthesis","DCM"
"56",23.375469,"Degradation","DCM"
"57",23.3940552,"Degradation","DCM"
"58",0.3660615,"Energy-Metabolism","DCM"
"59",0.0690157,"Biosynthesis","DCM"
"60",2.9891817,"Biosynthesis","DCM"
"61",2.9891817,"Degradation","DCM"
"62",4.0159934,"Biosynthesis","DCM"
"63",0.2543822,"Energy-Metabolism","DCM"
"64",1.227264,"Biosynthesis","DCM"
"65",0.2302025,"Degradation","DCM"
"66",2.821164,"Biosynthesis","DCM"
"67",2.9891817,"Degradation","DCM"
"68",2.556401,"Biosynthesis","DCM"
"69",2.322818,"Biosynthesis","DCM"
"70",0.1097997,"Biosynthesis","DCM"
"71",0.3400759,"Biosynthesis","DCM"
"72",1.182336,"Biosynthesis","DCM"
"73",0.1526538,"Biosynthesis","DCM"
"74",0.907549,"Biosynthesis","DCM"
"75",0.907549,"Biosynthesis","DCM"
"76",0.0200741,"Degradation","DCM"
"77",2.913971,"Biosynthesis","DCM"
"78",23.3775565,"Degradation","DCM"
"79",23.3775565,"Degradation","DCM"
"80",6.367575,"Biosynthesis","DCM"
"81",0.7108268,"Biosynthesis","DCM"
"82",1.7364585,"Degradation","DCM"
"83",0.3507492,"Degradation","DCM"
"84",2.7136255,"Degradation","DCM"
"85",1.7174147,"Biosynthesis","DCM"
"86",18.4104223,"Biosynthesis","DCM"
"87",7.1314248,"Energy-Metabolism","DCM"
"88",34.9612692,"Biosynthesis","DCM"
"89",2.7136255,"Biosynthesis","DCM"
"90",3.0129952,"Biosynthesis","DCM"
"91",3.0129952,"Biosynthesis","DCM"
"92",52.2095705,"Biosynthesis","DCM"
"93",3.5622296,"Biosynthesis","DCM"
"94",1.5799425,"Biosynthesis","DCM"
"95",4.7091968,"Metabolic-Clusters","DCM"
"96",6.66179,"Degradation","DCM"
"97",4.5029705,"Biosynthesis","DCM"
"98",3.9106428,"Biosynthesis","DCM"
"99",9.145037,"Biosynthesis","DCM"
"100",2.1299863,"Biosynthesis","DCM"
"101",3.475794,"Biosynthesis","DCM"
"102",3.9257142,"Biosynthesis","DCM"
"103",6.66179,"Biosynthesis","DCM"
"104",7.0870979,"Biosynthesis","DCM"
"105",3.9718731,"Degradation","DCM"
"106",2.1872192,"Energy-Metabolism","DCM"
"107",7.9616185,"Degradation","DCM"
"108",5.99805936,"Biosynthesis","DCM"
"109",6.78130636,"Biosynthesis","DCM"
"110",3.3913359,"Biosynthesis","DCM"
"111",13.3887972,"Biosynthesis","DCM"
"112",32.4953828,"Biosynthesis","DCM"
"113",12.381369,"Biosynthesis","DCM"
"114",30.8665309,"Biosynthesis","DCM"
"115",7.5162369,"Biosynthesis","DCM"
"116",1.54256202,"Degradation","DCM"
"117",1337.310281,"Degradation","DCM"
"118",13.604857,"Biosynthesis","DCM"
"119",4.2945775,"Biosynthesis","DCM"
"120",25.7554164,"Biosynthesis","DCM"
"121",21.0219198,"Energy-Metabolism","DCM"
